                            Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema paterno,Disruptivo,Provocações,Humor ácido,Aceita validações,Código para vida,NFTs,Projetos de longo prazo,Subversão de sistemas,Exposição,Vídeos 8-bit,Cinismo,WhatsApp,Economia do ódio,Banksy
Low-level,Agressivo,Anti-sistema,Bitmask,Constelação de Pênis,Busca por atenção,Incrível,Busca por validação,NSFW,Reage com humor,Hacking para sedução,Ativismo,Túmulo cósmico,Otimização extrema,Perigo de ações,TikTok,Cinismo,LinkedIn,Economia do ódio,Banksy
IA,Sarcástico,Provocação,Swarm,AGI em SNES,Demissão,Gênio,Testes,Sarcasmo,Rejeita críticas,Hacking para sedução,Arte digital,Túmulo cósmico,Otimização extrema,Perigo de ações,Giphy,Cinismo,4chan,Desprezo por dinheiro convencional,Neuromancer
Geopolítica,Uso de código na fala,Ética hacker,Hardware low-cost,Projeto Flatline,Problema
